视频时长,视频AV号,播放量,弹幕数,评论数,点赞数,投币数,分享数
16,398688369,745439,784,834,126224,4811,2297
76,951593691,1267545,251,696,62288,3403,5510
12,398807482,377925,250,607,57560,553,553
29,855555611,86218,49,117,6693,248,62
13,741305183,63525,9,186,4770,84,253
15,693600957,56609,16,120,8776,149,273
167,994817799,287615,112,206,38444,1352,1091
141,441538589,66841,18,69,5019,101,72
392,570623302,181728,1160,244,9341,770,199
81,995093051,647365,50,381,59528,815,2032
15,825570722,858157,322,1132,240235,5022,4356
103,481340724,296922,77,270,31388,616,426
196,908006935,229374,69,256,16607,791,481
50,691169177,483574,121,214,41474,795,719
134,442671300,712753,208,308,53232,847,562
165,599177787,2623001,4903,3229,199642,8034,2282
20,996271217,237358,6,137,20408,86,85
17,527667649,40570,3,43,1454,31,37
110,611752728,1281615,1107,1582,94106,893,964
55,697860191,534907,130,105,53662,197,324
12,398586034,1667327,312,1155,246348,4083,4706
9,867801849,728760,82,418,107027,1153,2081
10,826116446,598785,35,379,68094,756,1353
57,612821007,724338,118,308,40852,881,462
10,354765733,274643,34,178,30087,338,621
84,741228626,114747,16,74,1572,25,76
20,655628290,475310,119,566,94795,968,3463
45,946404818,108605,76,277,14050,518,98
30,693166621,1416596,1000,1675,154693,1101,1314
21,656016547,53312,8,23,5066,46,40
76,951593691,1267545,251,696,62288,3403,5510
20,996271217,237358,6,137,20408,86,85
273,825744235,382694,292,422,43147,660,514
27,313296192,302208,48,184,52768,641,407
17,734727691,95236,2,52,3264,23,41
26,867516379,689611,64,233,25691,351,484
28,937913352,403738,95,332,50112,1369,749
23,398385219,241262,34,113,12731,63,100
16,398688369,745439,784,834,126224,4811,2297
12,398807482,377925,250,607,57560,553,553
29,855555611,86218,49,117,6693,248,62
110,611752728,1281615,1107,1582,94106,893,964
80,698723998,41502,18,61,2657,154,63
141,441538589,66841,18,69,5019,101,72
134,442671300,712753,208,308,53232,847,562
32,571004836,64527,45,121,5414,133,195
13,741305183,63525,9,186,4770,84,253
319,528454112,516803,670,588,10946,793,116
16,697590666,638012,142,456,127031,2564,2719
18,698766185,144411,19,61,7868,56,30
33,311736658,996696,87,306,31029,330,373
52,486178213,409524,71,351,56625,3239,1094
368,268845065,70268,35,61,5235,106,63
8,305420617,487782,95,760,71760,2760,1652
27,569874088,267097,66,258,16904,236,356
33,571137298,360466,81,219,23988,347,128
32,995924215,803431,114,346,85847,1232,1624
20,605052561,11194,0,18,1040,34,7
13,228610416,444848,41,440,6617,93,42
